"NumSorted", "InsertComp", "SelectComp", "HeapComp", "MergeComp", "QuickComp"
        500,        63597,       125249,       7000,        4344,       6505
       1000,       254362,       500499,      15967,        9700,      14439
       1500,       554589,      1125749,      25813,       15467,      23090
       2000,      1003667,      2000999,      35962,       21400,      31188
       2500,      1606133,      3126249,      46662,       27595,      39061
       3000,      2272433,      4501499,      57608,       33950,      47481
       3500,      3083553,      6126749,      68686,       40320,      57100
       4000,      3997696,      8001999,      79945,       46820,      66042
       4500,      5066599,     10127249,      91547,       53511,      73877
       5000,      6349081,     12502499,     103334,       60253,      84645
       5500,      7670586,     15127749,     115147,       66972,      92018
       6000,      9080159,     18002999,     127042,       73910,     105180
